Store,Date,Month,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
1,05/02/2010,Feb,"1,643,691",0,42.31,2.572,211,8.106
1,12/02/2010,Feb,"1,641,957",1,38.51,2.548,211,8.106
1,19/02/2010,Feb,"1,611,968",0,39.93,2.514,211,8.106
1,26/02/2010,Feb,"1,409,728",0,46.63,2.561,211,8.106
1,05/03/2010,Mar,"1,554,807",0,46.5,2.625,211,8.106
1,12/03/2010,Mar,"1,439,542",0,57.79,2.667,211,8.106
1,19/03/2010,Mar,"1,472,516",0,54.58,2.72,211,8.106
1,26/03/2010,Mar,"1,404,430",0,51.45,2.732,211,8.106
1,02/04/2010,Apr,"1,594,968",0,62.27,2.719,211,7.808
1,09/04/2010,Apr,"1,545,419",0,65.86,2.77,211,7.808
1,16/04/2010,Apr,"1,466,058",0,66.32,2.808,210,7.808
1,23/04/2010,Apr,"1,391,256",0,64.84,2.795,210,7.808
1,30/04/2010,Apr,"1,425,101",0,67.41,2.78,210,7.808
1,07/05/2010,May,"1,603,955",0,72.55,2.835,210,7.808
1,14/05/2010,May,"1,494,252",0,74.78,2.854,210,7.808
1,21/05/2010,May,"1,399,662",0,76.44,2.826,211,7.808
1,28/05/2010,May,"1,432,070",0,80.44,2.759,211,7.808
1,04/06/2010,Jun,"1,615,525",0,80.69,2.705,211,7.808
1,11/06/2010,Jun,"1,542,561",0,80.43,2.668,211,7.808
1,18/06/2010,Jun,"1,503,284",0,84.11,2.637,211,7.808
1,25/06/2010,Jun,"1,422,712",0,84.34,2.653,211,7.808
1,02/07/2010,Jul,"1,492,418",0,80.91,2.669,211,7.787
1,09/07/2010,Jul,"1,546,074",0,80.48,2.642,211,7.787
1,16/07/2010,Jul,"1,448,939",0,83.15,2.623,211,7.787
1,23/07/2010,Jul,"1,385,065",0,83.36,2.608,211,7.787
1,30/07/2010,Jul,"1,371,987",0,81.84,2.64,211,7.787
1,06/08/2010,Aug,"1,605,492",0,87.16,2.627,212,7.787
1,13/08/2010,Aug,"1,508,238",0,87,2.692,212,7.787
1,20/08/2010,Aug,"1,513,080",0,86.65,2.664,212,7.787
1,27/08/2010,Aug,"1,449,143",0,85.22,2.619,212,7.787
1,03/09/2010,Sep,"1,540,164",0,81.21,2.577,212,7.787
1,10/09/2010,Sep,"1,507,461",1,78.69,2.565,211,7.787
1,17/09/2010,Sep,"1,430,379",0,82.11,2.582,212,7.787
1,24/09/2010,Sep,"1,351,791",0,80.94,2.624,212,7.787
1,01/10/2010,Oct,"1,453,330",0,71.89,2.603,212,7.838
1,08/10/2010,Oct,"1,508,240",0,63.93,2.633,212,7.838
1,15/10/2010,Oct,"1,459,409",0,67.18,2.72,212,7.838
1,22/10/2010,Oct,"1,345,454",0,69.86,2.725,212,7.838
1,29/10/2010,Oct,"1,384,209",0,69.64,2.716,212,7.838
1,05/11/2010,Nov,"1,551,659",0,58.74,2.689,212,7.838
1,12/11/2010,Nov,"1,494,479",0,59.61,2.728,212,7.838
1,19/11/2010,Nov,"1,483,784",0,51.41,2.771,212,7.838
1,26/11/2010,Nov,"1,955,624",1,64.52,2.735,212,7.838
1,03/12/2010,Dec,"1,548,034",0,49.27,2.708,212,7.838
1,10/12/2010,Dec,"1,682,614",0,46.33,2.843,211,7.838
1,17/12/2010,Dec,"1,891,035",0,49.84,2.869,211,7.838
1,24/12/2010,Dec,"2,387,950",0,52.33,2.886,211,7.838
1,31/12/2010,Dec,"1,367,320",1,48.43,2.943,211,7.838
1,07/01/2011,Jan,"1,444,732",0,48.27,2.976,211,7.742
1,14/01/2011,Jan,"1,391,014",0,35.4,2.983,211,7.742
1,21/01/2011,Jan,"1,327,405",0,44.04,3.016,212,7.742
1,28/01/2011,Jan,"1,316,899",0,43.83,3.01,212,7.742
1,04/02/2011,Feb,"1,606,630",0,42.27,2.989,213,7.742
1,11/02/2011,Feb,"1,649,615",1,36.39,3.022,213,7.742
1,18/02/2011,Feb,"1,686,843",0,57.36,3.045,213,7.742
1,25/02/2011,Feb,"1,456,800",0,62.9,3.065,214,7.742
1,04/03/2011,Mar,"1,636,263",0,59.58,3.288,214,7.742
1,11/03/2011,Mar,"1,553,192",0,53.56,3.459,214,7.742
1,18/03/2011,Mar,"1,576,818",0,62.76,3.488,214,7.742
1,25/03/2011,Mar,"1,541,102",0,69.97,3.473,215,7.742
1,01/04/2011,Apr,"1,495,065",0,59.17,3.524,215,7.682
1,08/04/2011,Apr,"1,614,259",0,67.84,3.622,215,7.682
1,15/04/2011,Apr,"1,559,889",0,71.27,3.743,215,7.682
1,22/04/2011,Apr,"1,564,820",0,72.99,3.807,215,7.682
1,29/04/2011,Apr,"1,455,091",0,72.03,3.81,216,7.682
1,06/05/2011,May,"1,629,391",0,64.61,3.906,216,7.682
1,13/05/2011,May,"1,604,776",0,75.64,3.899,216,7.682
1,20/05/2011,May,"1,428,218",0,67.63,3.907,216,7.682
1,27/05/2011,May,"1,466,047",0,77.72,3.786,216,7.682
1,03/06/2011,Jun,"1,635,078",0,83,3.699,215,7.682
1,10/06/2011,Jun,"1,588,948",0,83.13,3.648,215,7.682
1,17/06/2011,Jun,"1,532,115",0,86.41,3.637,215,7.682
1,24/06/2011,Jun,"1,438,830",0,83.58,3.594,215,7.682
1,01/07/2011,Jul,"1,488,538",0,85.55,3.524,215,7.962
1,08/07/2011,Jul,"1,534,850",0,85.83,3.48,215,7.962
1,15/07/2011,Jul,"1,455,120",0,88.54,3.575,215,7.962
1,22/07/2011,Jul,"1,396,927",0,85.77,3.651,215,7.962
1,29/07/2011,Jul,"1,352,220",0,86.83,3.682,215,7.962
1,05/08/2011,Aug,"1,624,384",0,91.65,3.684,216,7.962
1,12/08/2011,Aug,"1,525,147",0,90.76,3.638,216,7.962
1,19/08/2011,Aug,"1,530,761",0,89.94,3.554,216,7.962
1,26/08/2011,Aug,"1,464,693",0,87.96,3.523,216,7.962
1,02/09/2011,Sep,"1,550,229",0,87.83,3.533,216,7.962
1,09/09/2011,Sep,"1,540,471",1,76,3.546,216,7.962
1,16/09/2011,Sep,"1,514,260",0,79.94,3.526,216,7.962
1,23/09/2011,Sep,"1,380,020",0,75.8,3.467,216,7.962
1,30/09/2011,Sep,"1,394,562",0,79.69,3.355,217,7.962
1,07/10/2011,Oct,"1,630,990",0,69.31,3.285,217,7.866
1,14/10/2011,Oct,"1,493,526",0,71.74,3.274,217,7.866
1,21/10/2011,Oct,"1,502,563",0,63.71,3.353,218,7.866
1,28/10/2011,Oct,"1,445,249",0,66.57,3.372,218,7.866
1,04/11/2011,Nov,"1,697,230",0,54.98,3.332,218,7.866
1,11/11/2011,Nov,"1,594,939",0,59.11,3.297,218,7.866
1,18/11/2011,Nov,"1,539,484",0,62.25,3.308,218,7.866
1,25/11/2011,Nov,"2,033,321",1,60.14,3.236,218,7.866
1,02/12/2011,Dec,"1,584,084",0,48.91,3.172,219,7.866
1,09/12/2011,Dec,"1,799,682",0,43.93,3.158,219,7.866
1,16/12/2011,Dec,"1,881,177",0,51.63,3.159,219,7.866
1,23/12/2011,Dec,"2,270,189",0,47.96,3.112,219,7.866
1,30/12/2011,Dec,"1,497,463",1,44.55,3.129,220,7.866
1,06/01/2012,Jan,"1,550,370",0,49.01,3.157,220,7.348
